.,Spanish
EventDentroLavabo.text,"Un inodoro, una bañera sin cortina y un lavamanos forman este modesto, pero practico baño. En el espejo del lavamanos parece que hay algo escrito. \n\nColoca la ficha de Búsqueda en el lugar señalado. Tienes la oportunidad de moverte un espacio a la zona explorada."
EventDentroLavabo.button1,Continuar
EventDescifrarBaho.text,"Miras con atención las letras unos segundos. Cuanto más las miras, más pareces entenderlas. Sin darte cuenta empiezas a recitar la letanía que vas leyendo en un idioma que ni tan solo conoces."
EventDescifrarBaho.button1,Confirmar
EventAbrirPuertaFAKE2.text,"La puerta se abre hacia dentro. Por unos instantes, te ciega la luz que viene del otro lado. Al recuperarte te das cuenta que unos barrotes te impiden traspasar el umbral y lo que identificas claramente como el rostro de un niño de tamaño descomunal, pasa por el otro lado mientras te señala y grita:\n\n<i>-¡Mamá, mamá! ¡Quiero este!¡Quiero este pajarito!</i>\n \nCierras la puerta de golpe y la bloqueas con una silla. Sufres 3 de Horror boca abajo anulado por ({lore}-1) y ganas 2 Pistas {clue}. Luego descarta esta ficha de exploración."
EventAbrirPuertaFAKE2.button1,Continuar
EventRebuscarMuebleBar.text,Parece que todas las botellas están vacías ({observation}).
EventRebuscarMuebleBar.button1,Continuar
EventRebuscarMuebleBar.button2,Oculto
EventDentroCocina.text,"Al fondo del comedor hay una puerta y a su lado, un elegante mueble bar. A través del paso a la cocina, ves que alguien se ha dejado la nevera abierta y se ha formado un charco en el suelo. Los armarios de la cocina tienen los cristales rotos. Al fondo, una puerta de madera cerrada con lo que parece un candado.\n\nColoca las fichas de Exploración y Búsqueda en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada."
EventDentroCocina.button1,Continuar
EventAbrirPuertaFAKE1.text,"Abres la puerta y apenas te da tiempo a reaccionar cuando un montón de ladrillos te caen encima. Al recuperarte de los golpes te das cuenta que la puerta está tapiada con ladrillos macizos. \n\n Sufres 2 de Daño, ganas 1 Pista {clue} y adquieres el estado <b>Desconcertado.</b> Descarta esta ficha de Exploración."
EventAbrirPuertaFAKE1.button1,Llorar
EventInspeccionarPuertaSOTANO11.text,"Examinas la puerta y un olor a tierra húmeda y estiércol, te llenan la nariz. Una tenue luz amarilla se filtra por las rendijas, pero no se abre. Ganas 2 Pistas {clue}."
EventInspeccionarPuertaSOTANO11.button1,Continuar
EventAparicionFantasmaVerde.button1,Continuar
EventAparicionFantasmaVerde.text,"Consigues darte la vuelta a pesar del temblor de tus piernas, para ver en lo alto de las escaleras la silueta de una niña con una elegante vestido blanco, unos lacitos en el pelo y un osito de peluche sin ojos en la mano. Ves claramente a través de ella. Sufres 1 de Horror. \n\nColoca la ficha de Personaje en el lugar indicado."
EventInvestigarPuertaESC11.text,"Mientras estas examinando la puerta, tu cuerpo se paraliza al oír detrás de ti unas risas infantiles y juguetonas que pronuncian tu nombre. Los rostros de los cuadros a tu alrededor han desaparecido.\n\nSufres 1 de Horror anulado por ({will}-2)."
EventInvestigarPuertaESC11.button1,Continuar
TokenPuertaVerdeOFF.text,"Un haz de luz verdosa muy tenue se cuela por debajo de la puerta, pero te das cuenta que no tiene pomo ni cerrojo para abrirla."
TokenPuertaVerdeOFF.button1,Continuar
TokenPuertaVerdeLuzON.text,"Un haz de luz verdosa muy tenue se cuela por debajo de la puerta, sin pomo ni cerrojo. La puerta está entreabierta."
TokenPuertaVerdeLuzON.button1,{action} Abrir
EventFantasmaVerdeHABLA1.text,<i>-Cada vez que os veo aquí dentro me doy cuenta de que ya no recuerdo el rostro de mi mamá… Nuestro peor enemigo es el aburrimiento ¿A qué queréis jugar hoy?-</i>.
EventFantasmaVerdeHABLA1.button1,{action} ¿Dónde estamos?
EventFantasmaVerdeHABLA1.button2,{action} Jugar
EventFantasmaVerdeHABLA1.button3,Dejar para luego
EventFantasmaVerdeHABLA2.text,"<i>-Siempre me ha gustado escucharos hablar de lo ultimo que recordáis antes de llegar aquí. Tranquilos, es normal. Recuerdo que a mi papá también le gustaba mucho beber whisky con dos hielos. A veces se lo servía yo misma, pero ahora ya no puedo porque no estoy en casa.-</i>\n\n Ganas 1 {clue} y sufres 2 de Horror boja abajo anulados por ({will}-1)."
EventFantasmaVerdeHABLA2.button1,Dejar para luego
EventFantasmaVerdeHABLA2.button2,{action} ¿Quien eres?
EventINTRO3.text,Al fondo de la habitación hay una puerta blanca de madera. Parece que es la única manera de salir del dormitorio. Coloca la ficha de exploración en el lugar señalado.
EventINTRO3.button1,Continuar
EventFantasmaVerdeHABLA3.text,<i>-Yo no soy yo ni tu eres tu. Aún no puedes verlo pero lo harás.-</i>\n La niña ríe mientras desaparece ante tus ojos.
EventFantasmaVerdeHABLA3.button1,Continuar
EventMostrarCocina.text,Abres la puerta y ves una larga mesa que preside el comedor y una cocina anexa. \n\nRetira la ficha de exploración y coloca el módulo Comedor/Cocina {MAD20}.
EventMostrarCocina.button1,Continuar
EventSalirHAB1.text,"Un largo y estrecho pasillo poco iluminado se abre ante ti. \n\nDescarta esta ficha de Exploración y coloca los módulos de <b>Pasillo 2</b> {MAD20} y <b>Final de pasillo </b> {MAD20}, así como las fichas de pared en los lugares señalados. \nTienes la oportunidad de moverte un espacio a la zona explorada."
EventSalirHAB1.button1,Continuar
EventVistazo1.text,El pasillo gira y sigue en la penumbra.\n\nColoca el módulo de <b>Esquina de pasillo 2</b> {MAD20} y la ficha de pared en los lugares señalados.
EventVistazo1.button1,Continuar
EventINTRO2.text,Colocad las miniaturas de los investigadores en el lugar señalado.
EventINTRO2.button1,Continuar
EventDebajoAlfombraHAB1.text,Levantas la alfombra y llama tu atención que una de las tablillas del suelo parece recién reparada. Crees que con un poco de fuerza quizás logres arrancarla. \n\nTira 2 dados adicionales ({strength}) si tienes el objeto común <b>palanca</b>.
EventDebajoAlfombraHAB1.button1,Tirar 
EventDebajoAlfombraHAB1.button2,Oculto
TokenParetSecreta2.text,Detrás del armario hay un pasadizo que se adentra en la pared. Tus ojos no alcanzan a ver el final.
TokenParetSecreta2.button1,{action} Adentrarse
UIBottonInicial.button1,Botón1
Detrás del mostrador, un hombre bajito señala con un dedo la cortina del fondo. Con mucho cuidado te tambaleas en silencio entre las viejas jaulas de madera y solo la luz de la luna te deja entrever que algunas de ellas están habitadas por extrañas aves de colores. Apartas la cortina y bajas las escaleras hasta a una puerta roja de madera. Llamas 4 veces
UIButtonFIN2.button1,Botón1
TokenSalidaFINAL1.text,La mujer se ha adentrado en el bosque.
TokenSalidaFINAL1.button1,{action} Seguir
TokenBastEntrega01.text,"Los brillantes y despiertos ojos del gato blanco, siguen todos tus movimientos sin pestañear. Un bello animal, de un tamaño mas grande de lo habitual, sentado elegantemente sobre sus patas traseras te pregunta: <i>-¿Lo habéis encontrado?-</i>."
TokenBastEntrega01.button1,{action} Entregar Viejo Diario
TokenBastEntrega01.button2,{action} Entregarel Talismán Protector
TokenBastEntrega01.button3,{action} Entregar Daga
TokenBastEntrega01.button4,{action} Entregar Caja Enigmática
TokenBastEntrega01.button5,Recapitular
TokenBastObj1.text,La expresión de la gata se ha enfriado y la impaciencia aflora en sus ojos. <i>-Dadme lo que es mío.-</i> 
TokenBastObj1.button1,{action} Entregar el Talismán Protector
TokenBastObj1.button2,{action} Entregar la Daga Ritual
TokenBastObj1.button3,{action} Entregar la Caja Enigmática
TokenBastObj2.text,La expresión de la gata se ha enfriado y la impaciencia aflora en sus ojos. <i>-Dadme lo que es mío.-</i>
TokenBastObj2.button1,{action} Entregar el Viejo Diario
TokenBastObj2.button2,{action} Entregar la Daga Ritual
TokenBastObj2.button3,{action} Entregar la Caja Enigámtica
TokenMarcadorFake5.text,Un joven apuesto concentrado en el cuidado de las amapolas.
TokenMarcadorFake5.button1,{action} Saludar
TokenSalidaFINAL2.text,La extraña criatura se ha adentrado en el bosque.
TokenSalidaFINAL2.button1,{action} Perseguir
TokenSrFord.text,"Un hombre con una vestimenta elegante y un rostro que te es familiar, con un baso de whiskey con dos hielos en la mano."
TokenSrFord.button1,{action} ¿Le conozco?
TokenBastDaga.text,<i>-Os lo prometí. ¿Estamos  todos?.-</i>. Pregunta la mujer.
TokenBastDaga.button1,{action} Estamos todos
TokenBastDaga.button2,{action} Solo he sobrevivido yo
TokenBastDaga.button3,{action} Todavía falta gente
TokenMujerBast02.text,"Una criatura con cuerpo de mujer, de figura joven y esbelta, pero con cabeza de gato se alza imponente ante ti."
TokenMujerBast02.button1,{action} Estamos Todos
TokenMujerBast02.button2,{action} Solo he sobrevivido yo
EventLuzAzulSalidaOFF.text,Una luz azul se enciende en el  pulsador. El silencio envuelve la habitación.
UIButtonEND.button1,Botón1
EventLuzAmarillaSalidaOFF.text,Una luz amarilla se enciende en el  pulsador. Oyes un breve sonido mecánico a no muy lejos de donde te encuentras ahora.
EventLuzApagadoSalidaOFF.text,"Las luces del panel se apagan. Oyes un sonido mecánico que se recorre las habitaciones, como si algo se acercara a ti, hasta que cesa de golpe cuando más fuerte lo oyes."
TokenBastCaja.button1,{action} Entregar el Viejo Diario
TokenBastCaja.button2,{action} Entregar el Talismán Protector
TokenBastCaja.button3,{action} Entregar la Daga Ritual
TokenBastCaja.text,La expresión de la gata se ha enfriado y la impaciencia aflora en sus ojos. <i>-Dadme lo que es mío.-</i> 
EventTextLore01.text,"Tienes un dolor de cabeza horrible. Crees que si abres los ojos aún será peor.\n\n Intentas averiguar porque te sabe la boca a sangre. Lo último que recuerdas es saludar al Señor Ford en la barra de aquel bar clandestino, en el sótano de la pajarería."
EventFailBuscarCajas.button1,Continuar
TokenPuertaCampanario.text,Una puerta de madera maltratada por la humedad.
TokenPuertaCampanario.button1,{action} Forzar
TokenMuebleBar.text,"Un lujoso mueble bar, lleno de botellas con etiquetas escritas en varios idiomas."
TokenMuebleBar.button1,{action}Buscar
TokenPuertaLlavesOLDtrue.text,Una puerta blanca de madera que conduce al jardín. El candado de hierro que cierra la puerta está desgastado por el uso. \n\n Solo el investigador que posea el objeto único <b>llaves antiguas</b> puede abrir esta puerta.
TokenPuertaLlavesOLDtrue.button1,{action} Abrir
TokenPanelControlBiblioteca.text,Un pequeño panel de control oculto detrás de los libros. Tiene 4 botones y parece haber sido usado recientemente.
TokenPanelControlBiblioteca.button1,{action} Boton Verde
TokenPanelControlBiblioteca.button2,{action} Boton Amarillo
TokenPanelControlBiblioteca.button3,{action} Boton Azul
TokenPanelControlBiblioteca.button4,{action} Apagar
TokenPuertaCocinaPasillo.text,"Una puerta de madera, ennegrecida por el humo de la cocina."
TokenPuertaAzulLuzON.text,Una puerta blanca manchada de barro. Por debajo de ella se filtra una tenue luz azul.
TokenPuertaAzulLuzON.button1,{action} Abrir
TokenPuertaLlavesOLDFalse.text,Una puerta blanca de madera que conduce al jardín. El candado de hierro que cierra la puerta está desgastado por el uso.
TokenPuertaLlavesOLDFalse.button1,Continuar
TokenPuertaCocinaPasillo.button1,{action} Abrir
TokenPuertaAmarilloOFF.text,"Una  puerta de madera con trozos de pintura desconchada. Una tenue luz amarilla se filtra por las rendijas, pero no se abre."
TokenMarcadorFake2.text,"Un escritorio de madera rojiza, apoyado en la pared del pasillo. Alguien ha dejado unos papeles tirados encima."
TokenMarcadorFake2.button1,{action} Buscar
TokenMarcadorFake3.button1,{action} Buscar
TokenMarcadorFake3.text,Una estantería repleta de tomos. Llama tu atención que el más antiguo tiene fecha del 2000 a.C.
TokenMarcadorFake4.text,El suelo de barro parece recién removido.
TokenMarcadorFake4.button1,{action} Excavar
TokenMarcadorFake1.button1,{action} Examinar
TokenMarcadorFake1.text,Una colección de retratos de niños y niñas.
TokenPuertaESC11.text,"Una elegante puerta de madera sin pomo, ni cerradura."
TokenPuertaESC11.button1,{action} Examinar
TokenPuertaVerde01.text,Una puerta con la luz verde debajo explicat bé
TokenPuertaVerde01.button1,{action} Examinar
TokenPuertaLavabo11.button1,{action} Abrir
TokenPuertaLavabo11.text,"En la puerta hay colgada una placa metálica, grabada con la imagen de un niño pequeño haciendo pis en un orinal."
TokenFantasmaVerde1.text,<i>-¿A qué queréis jugar hoy?-</i>
TokenFantasmaVerde1.button1,Dejar para luego
TokenFantasmaVerde1.button2,{action} ¿Dónde estamos?
TokenFantasmaVerde1.button3,{action} Jugar
TokenMesitaEsquinaPasillo.text,"Inspeccionas los cajones pero no encuentras nada de interés, aunque uno de ellos esta cerrado con un cierre de combinación. Con un poco de maña y paciencia, crees que podrías descifrarlo."
TokenMesitaEsquinaPasillo.button1,{action} Resolver
TokenPuertaBIBLIOTECA12.text,Una corriente de aire caliente y un leve olor a mar se cuela por la puerta entreabierta.
TokenPuertaBIBLIOTECA12.button1,{action} Abrir
EventTextLore01.button1,Continuar
La mesa del comedor, esta puesta para ocho comensales
TokenFantasmaNaranja1.text,"Un niño hecho un ovillo en el centro del lavabo, llora desconsoladamente."
TokenFantasmaNaranja1.button1,Ignorar
TokenFantasmaNaranja1.button2,{action} Hola pequeño
TokenFantasmaNaranja1.button3,{action} Rezar 
TokenYogDog.text,Un precioso perro negro que parece un chacal.
TokenYogDog.button1,{action} Dejar que se acerque
TokenYogDog.button2,{action} Tocarlo
TokenPuertaCocina10.text,Una puerta blanca de madera. Debajo del pomo puedes ver un pequeño cerrojo de latón.
TokenPuertaCocina10.button1,Continuar
TokenPuertaSotanoLuz.text,Una  puerta de madera con trozos de pintura desconchada. Una tenue luz amarilla se filtra por las rendijas.
TokenPuertaSotanoLuz.button1,{action} Abrir
TokenPuertaFAKE3.text,"Un cartel en el que se puede leer <b>Almacén</b>, cuelga de una puerta en mal estado por las condiciones de la estancia."
TokenPuertaFAKE3.button1,{action} Abrir
PuzzleCajonMesaPasillo.text,Puedes intentar resolver el cifrado del pestillo. Usando ({observation}) como pasos para el rompecabezas.
PuzzleCajonMesaPasillo.button1,Continuar
TokenVistazo2.text,Un investigador que se encuentre en este espacio de la <b>Esquina de pasillo</b> {MAD20} puede echar un <b>Vistazo</b>.
TokenVistazo2.button1,Vistazo
TokenPuertaSOTANO11.text,Una puerta de madera con trozos de pintura desconchada.
TokenPuertaSOTANO11.button1,{action} Examinar
TokenPuertaCOCINA11.text,"Al acercarte a la puerta, un fuerte olor a pastel recién horneado te recuerda que no sabes cuantas horas llevas sin comer. Hay luz debajo de la puerta pero parece que esta cerrada con llave. Debajo del pomo puedes ver un pequeño cerrojo de latón. \n\n Solo el investigador que posea el objeto único <b>llave de latón</b> puede abrir esta puerta. "
TokenPuertaCOCINA11.button1,{action} Abrir
TokenFantasmaVerde12.text,"<i>- 1,2,3,4... No crees que deberías saber ya porqué estáis aquí.</i>"
TokenFantasmaVerde12.button1,Ignorar
TokenFantasmaVerde12.button2,{action} ¿Quien eres?
TokenPuertaFAKE1.text,"Una puerta blanca de madera, un poco deteriorada por el paso del tiempo."
TokenPuertaFAKE1.button1,{action} Abrir
TokenPuertaAmarilloOFF.button1,Continuar
TokenPuertaFAKE2.text,Una luz blanca se filtra por debajo de la puerta.
TokenPuertaFAKE2.button1,{action}Abrir
TokenNevera.text,La puerta de la nevera está entreabierta y se ha formado un pequeño charco de agua sucia delante.
TokenNevera.button1,{action} Buscar
TokenArmarioCocina.text,"Unos armarios encima del fregadero, con los cristales de las puertas rotos."
TokenArmarioCocina.button1,{action} Buscar
TokenPuertaDESPACHO11.text,En la placa de la puerta puedes leer: <i>Despacho</i>.
TokenPuertaDESPACHO11.button1,{action}Abrir
TokenPuertaBIBLIOTECA11.text,Al acercarte puedes ver que la puerta tiene unos extraños símbolos grabados. \n\nEl investigador que posea el <b>Emblema de sectario</b> puede interactuar con la puerta para resolver el enigma.
TokenPuertaBIBLIOTECA11.button1,{action} Resolver
PuzzlePuertaBIBLIO.text,El investigador que posea el <b>Emblema de sectario</b> puede intentar resolver el rompecabezas usando ({influence}) como pasos del rompecabezas.
PuzzlePuertaBIBLIO.button1,Continuar
TokenMesaDespacho.text,"La mesa está limpia y ordenada. Un cajón entreabierto, llama tu atención."
TokenMesaDespacho.button1,{action} Buscar
TokenBahoLavabo.text,"Alguien ha escrito algo en una lengua antigua, crees que podrías descifrarlo."
TokenBahoLavabo.button1,{action} Descifrar
TokenBahoLavabo.button2,{action} Borrar
TokenCajasCamapanario.text,"En un rincón, unas enormes cajas polvorientas de madera, parece que llevan un siglo esperando a ser descubiertas."
TokenCajasCamapanario.button1,{action} Buscar
TokenCampana.text,"Una campana en perfecto estado, decorada con relieves de fantásticas criaturas medio animales, medio humanas."
TokenCampana.button1,{action} Inspeccionar
TokenPalancaCampana.text,La palanca esta en posición neutra. Parece que tiene puede moverse hacia adelante (+) o hacia atras (-).
TokenPalancaCampana.button1,{action} Accionar +
TokenPalancaCampana.button2,{action} Accionar -
TokenTrampillaCampanario.text,"Una trampilla se ha abierto en el, tus ojos no alcanzan a ver el fondo y no encuentras ninguna manera de bajar."
TokenTrampillaCampanario.button1,{action} Tirarse
TokenButacaPasillo.text,"Una butaca colocada en la esquina del pasillo distribuidor, cubierta de plumas de colores."
TokenButacaPasillo.button1,{action} Buscar
TokenEstanteriaBiblio1.text,Una estantería repleta de grandes clásicos de la literatura. Un libro con las tapas azules llama tu atención por tener menos polvo que los de su alrededor.
TokenEstanteriaBiblio1.button1,{action} Coger Libro
TokenPuertaAzulOFF.text,Una puerta blanca manchada de barro. Por debajo de ella se filtra una tenue luz azul.
TokenPuertaAzulOFF.button1,Continuar
EventLuzAmarillaSalidaOFF.button1,Continuar
EventLuzAzulSalidaOFF.button1,Continuar
EventLuzApagadoSalidaOFF.button1,Continuar
TokenBusquedaSotano1.text,Hay algo brillante sobresale del barro.
TokenBusquedaSotano1.button1,{action} Buscar
TokenBusqueda2Sotano.text,"Un montón de trastos viejos ennegrecidos por el estiércol, apilados en frente de la escalera."
TokenBusqueda2Sotano.button1,{action} Buscar
